"","cdww","iews","inss","mcc","mwp","si10","sp","sst","t2m","tauoc","u10","ust","v10","v10n","vst","wind","time_month","cdir","e","ewss","i10fg","lsp","magss","mer","metss","mmtss","mntss","mtpr","nsss","sshf","tp","NO3_UDO","PO4_UDO","SiO4_UDO","NH4_USF","NO2_USF","NO3_NO2_USF","PO4_USF","SiO4_USF","pH_corrected","Salinity_bottles","Temperature","Sigma_t","PrimaryProductivity","Chlorophyll","Phaeopigments","NO3_USF","NO3_UDO_35m","PO4_UDO_35m","SiO4_UDO_35m","NH4_USF_35m","NO2_USF_35m","NO3_NO2_USF_35m","PO4_USF_35m","SiO4_USF_35m","pH_corrected_35m","Salinity_bottles_35m","Temperature_35m","Sigma_t_35m","PrimaryProductivity_35m","Chlorophyll_35m","Phaeopigments_35m","NO3_USF_35m","NO3_UDO_35to100m","PO4_UDO_35to100m","SiO4_UDO_35to100m","NH4_USF_35to100m","NO2_USF_35to100m","NO3_NO2_USF_35to100m","PO4_USF_35to100m","SiO4_USF_35to100m","pH_corrected_35to100m","Salinity_bottles_35to100m","Temperature_35to100m","Sigma_t_35to100m","PrimaryProductivity_35to100m","Chlorophyll_35to100m","Phaeopigments_35to100m","NO3_USF_35to100m","Isotherm_21","MLD","Tchla","Prasino3","Dino1","Crypto1","Hapto6","Chloro1","Cyano4","Diatom1","Mesh200","Mesh500","total_biomass","SeaWiFS_chla","MODIS_chla","Satellite_chla"
"203",0.0009123299,-0.054353118,-0.025692165,0.09710318,5.124629,6.1139984,101075.125,300.71152,299.72668,0.9785492,5.3057528,-0.042137682,-2.5561256,-2.6366882,-0.027571455,4.536621,"11-1995",19084480,-0.0035581812,-5506.953,8.638282,0.00020805013,6192.3228,-4.118208e-05,-0.06372017,0.071691215,-0.028754234,1.1880994e-05,-2488.6484,-668755,0.0010270176,0.880504925215823,0.0593811380905002,2.11880187617865,NA,NA,NA,NA,NA,NA,36.7645404314582,25.3174165219606,24.5524581870797,NA,0.165512881348583,0.24872177530052,NA,0.273917769727749,0.00136736712027969,2.22681782765298,NA,NA,NA,NA,NA,NA,36.6169843180463,26.7810818155204,23.9924413970432,NA,0.105234884732949,0.112411620080411,NA,1.19252702160035,0.088518821043485,2.05984211517401,NA,NA,NA,NA,NA,NA,36.8402429681938,24.5634462719152,24.8411114094155,NA,0.19750359569117,0.321512624541523,NA,131,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204",0.0009340979,-0.057572365,-0.031501114,0.07147688,5.149414,6.504798,101168.125,299.28598,298.87793,0.9752018,5.4460278,-0.04413414,-3.0622683,-3.1171885,-0.032637093,4.7646484,"12-1995",18168832,-0.0025704682,-5814.203,8.922766,5.6098914e-05,6760.856,-2.9750328e-05,-0.06729275,0.07819398,-0.03521806,1.3204772e-06,-3042.9258,-253528,0.00011491153,3.09219531412657,0.209423082695598,3.86220827274975,NA,NA,NA,NA,NA,8.01095109201143,NA,23.6944943993615,25.1343157559423,0.45064254305357,0.110785485131177,0.156124978159526,NA,1.18923451175526,0.0727386536464633,3.10244061636205,NA,NA,NA,NA,NA,8.04185934826764,NA,25.000807523531,24.7181833266173,1.24942511271981,0.213726849315013,0.215469861469214,NA,4.06534051825841,0.279972561313016,4.25806465702624,NA,NA,NA,NA,NA,7.99498103586709,NA,23.0277519355775,25.3470334767506,0.0380811040643469,0.0579389453676378,0.126494757473153,NA,115,20,13.54,2.54,0.96,0.66,2.67,0,0.83,5.87,NA,NA,NA,NA,NA,NA
"205",0.0009792743,-0.06814271,-0.037200868,0.07638367,5.239093,7.016142,101168.81,298.53207,298.0664,0.96732825,5.860445,-0.050139666,-3.3308039,-3.3858147,-0.03755806,5.2536564,"01-1996",18737568,-0.0029667914,-6851.992,9.613052,6.571367e-05,7976.0273,-3.433753e-05,-0.07929897,0.09228275,-0.041196525,1.6709e-06,-3556.2266,-272642,0.0001433546,7.53413142061009,0.302687228273192,4.85569400741015,NA,NA,NA,NA,NA,7.98898630466217,36.8816821747211,22.6295054033009,25.4673260090561,1.97557589039362,0.558921368132765,0.334492262310032,NA,2.6140090028548,0.129416313864924,3.15296632109656,NA,NA,NA,NA,NA,8.03760937209516,36.918139415637,23.8668789013413,25.1367536395552,5.41269971336579,1.35532796128477,0.673002215527815,NA,10.0018161204963,0.390731231119518,5.73888920530646,NA,NA,NA,NA,NA,7.96388060471574,36.8631146779917,22.0047022575384,25.6341823549539,0.0291888943929477,0.115925803771805,0.148421739138921,NA,103,39,44.21,1.43,6.33,1.08,3.03,0.59,0.46,29.02,NA,NA,NA,NA,NA,NA
"206",0.0010275126,-0.08560687,-0.047099292,0.07904482,4.748802,7.7867565,101173.69,298.30145,298.15515,0.95866585,6.568261,-0.061073005,-3.6862736,-3.7126608,-0.042369887,5.7614746,"02-1996",20334576,-0.0026821978,-8292.891,10.395587,4.319311e-05,9619.258,-3.104184e-05,-0.09599906,0.11139178,-0.050238073,6.7477094e-07,-4342.09,-12840,5.8920472e-05,6.83388209791842,0.322116252462775,4.04532812664926,NA,NA,NA,NA,NA,7.96431066530107,36.8820810844151,22.3208758543417,25.5573422831145,1.11061043078495,0.340774745318115,0.280377432314143,NA,2.44712749830823,0.110962908523486,3.01342695188122,NA,NA,NA,NA,NA,8.0288914767208,36.91396871852,23.2343593825987,25.3174104558341,3.1309825975448,0.817846644234626,0.565583584722802,NA,9.10428325654492,0.431053064783407,4.58254513867822,NA,NA,NA,NA,NA,7.93090963779821,36.8660195709294,21.8533032447546,25.6803546588616,0.0369000089747436,0.0902414548662918,0.131380371860601,NA,96,29,28.77,1.64,1.84,1.93,2.18,0,0.34,20.23,NA,NA,NA,NA,NA,NA
"207",0.0010566569,-0.09607613,-0.052923143,0.0670927,4.762285,8.154397,101191.125,297.70407,297.8158,0.95438284,6.833128,-0.06531137,-3.9198847,-3.9165602,-0.045367807,6.057951,"03-1996",22302432,-0.002399338,-9349.094,10.896254,2.58761e-05,10874.324,-2.7770031e-05,-0.108240485,0.12583208,-0.057302356,4.256869e-07,-4947.4844,258676,3.7987367e-05,6.53770435787272,0.332877011915636,5.15327561927924,NA,NA,NA,NA,NA,NA,36.812028873398,21.1404078277043,25.829547282131,1.5130415293776,0.623482976129648,0.376006764929855,NA,1.95233345485564,0.108555966623741,3.4977652270159,NA,NA,NA,NA,NA,NA,36.8775719545517,22.1310000433462,25.5975943630327,4.3946086684351,1.69758312620531,0.912681661025178,NA,8.89823324188345,0.448998807794558,5.99833740288037,NA,NA,NA,NA,NA,NA,36.7792941213885,20.634448082863,25.9485601907251,0.00567298002408513,0.0624675052402206,0.0964165644424178,NA,49,33,21.26,0.49,1.8,0.92,2.05,0.09,0.27,14.93,NA,NA,NA,NA,NA,NA
"208",0.0010531964,-0.098165095,-0.05341804,0.087736815,4.6399355,8.225897,101153.5,298.30856,298.28906,0.9551815,6.9070415,-0.06624645,-3.9420671,-3.953333,-0.045715194,6.038761,"04-1996",22938896,-0.0026135547,-9531.777,10.993509,2.8987633e-05,11063.137,-3.0250434e-05,-0.110304356,0.12805218,-0.058048487,5.795665e-07,-5014.6484,137187,4.950157e-05,6.82946254413593,0.358837762558689,3.75966797899384,NA,NA,NA,NA,NA,7.92844422589414,36.8129437751685,21.119488534364,25.8330341199395,0.929758196578113,2.17852293618867,1.33014968948609,NA,2.11878119272009,0.1747838791895,2.34691106751811,NA,NA,NA,NA,NA,7.99451225228384,36.8634747442685,22.2165748701132,25.5705406872988,2.6915424448846,5.30635503888851,3.01628773298241,NA,9.24675550649666,0.455120119014257,4.48617132462134,NA,NA,NA,NA,NA,7.89403165034447,36.7875414417734,20.5609523719001,25.9670461472238,0.0097619995241666,0.584836721810702,0.475577632318346,NA,49,38,171.92,1.11,2.72,2.76,50.81,11.84,1.36,101.3,NA,NA,NA,NA,NA,NA
"209",0.00095252343,-0.065895796,-0.0350042,0.14792675,4.5887585,6.852909,101254.69,298.45312,298.563,0.97335875,5.7684603,-0.04888004,-3.2406569,-3.2379189,-0.033632677,4.9591475,"05-1996",22225472,-0.0016811539,-6338.715,9.08752,0.00015641957,7284.9775,-1.9458152e-05,-0.07323468,0.08436571,-0.037314355,2.8804006e-06,-3224.461,196034,0.00025007606,8.88110176162641,0.410039508438173,4.80014360552445,NA,NA,NA,NA,NA,7.94041918876973,36.7881394745798,20.9021625452782,25.8621111176877,5.43068788594356,0.839345852772641,0.411613979413598,NA,6.85267994402203,0.334174814726319,4.07803141090276,NA,NA,NA,NA,NA,7.96351496983882,36.8204651191299,21.6429240470113,25.6973473904776,15.7586314495014,2.29089411503919,0.964540381498616,NA,9.94021536853333,0.449606653544248,5.17827802522452,NA,NA,NA,NA,NA,7.92835001534781,36.77154192109,20.5208210562166,25.9476263559577,0.0279208247064112,0.0804459040260493,0.122549767423307,NA,32,16,44.24,1.11,0.01,0.22,9.76,1.04,0.54,31.41,NA,NA,NA,NA,NA,NA
"210",0.00087123946,-0.04513544,-0.021601558,0.18239737,4.38478,5.565095,101291.94,299.1921,299.00574,0.9855424,4.542302,-0.035463214,-2.3140802,-2.346222,-0.022916034,4.082364,"06-1996",21552896,-0.0018380666,-4261.0195,7.4868145,0.0006447912,4897.618,-2.1274696e-05,-0.04932177,0.056669112,-0.022380572,1.4294073e-05,-1932.0352,-53770,0.0012349621,7.80019222946663,0.286437815229449,3.64814895713695,NA,NA,NA,NA,NA,8.01668404470121,36.8847164386159,22.2299010265251,25.5791147982673,1.06010817856805,0.283162778826969,0.236507158343689,NA,1.34242148674238,0.086796462278267,2.47263128896171,NA,NA,NA,NA,NA,8.08778569287592,36.9291475404773,23.8949397276718,25.1298099617894,2.67795402172319,0.582805865722748,0.373791430750109,NA,11.1784420220447,0.390550200788358,4.25923000107727,NA,NA,NA,NA,NA,7.97897261480902,36.8619235565703,21.3489721969778,25.8174856339967,0.197453749396919,0.128388949839869,0.169744509888923,NA,82,20,27.77,4.43,0.79,3.81,3.76,0.21,0.11,14.64,NA,NA,NA,NA,NA,NA
"211",0.0008234093,-0.033497274,-0.013707552,0.17855895,4.6759443,4.7338877,101356.19,299.71393,299.17078,0.99123794,3.6957445,-0.026854694,-1.6473093,-1.6957397,-0.016807035,3.5563965,"07-1996",21400928,-0.002084624,-2997.3242,6.4138603,0.00085006515,3550.3457,-2.4126479e-05,-0.034759045,0.041124854,-0.013305601,2.2371634e-05,-1154.3889,-256207,0.0019330345,5.82979290828759,0.330554863296844,2.51401323244118,NA,NA,NA,NA,NA,7.98776896641932,36.8595948994009,23.3565766906868,25.2325217981525,0.763408576773694,0.240755541194409,0.294959037913785,NA,1.77408553150995,0.172942904448932,1.96220787872535,NA,NA,NA,NA,NA,8.05072674195446,36.8501200416567,24.9707007910548,24.7420533947209,1.36886045158963,0.299953580037875,0.269859659171121,NA,7.86725477071803,0.409308333795303,2.78378899888309,NA,NA,NA,NA,NA,7.95586723313691,36.8644000193825,22.5274297596421,25.4846277147869,0.451595110965202,0.215214122911254,0.314079822131861,NA,109,14,23.39,0.89,1.03,0.19,7.14,0.42,2.7,11.02,NA,NA,NA,NA,NA,NA
"212",0.00080245873,-0.027837217,-0.011320863,0.11781126,4.404911,4.4164095,101251.125,299.9924,299.49902,0.9936043,3.3389006,-0.023292482,-1.445693,-1.4859171,-0.013938706,3.3266125,"08-1996",21948032,-0.0019718446,-2691.4336,6.163784,0.00016267302,3258.4534,-2.2821609e-05,-0.031159341,0.037665017,-0.012014344,1.0306993e-05,-1034.9324,-212359,0.0008917148,5.10510136444988,0.253618412754821,3.60797662605122,NA,NA,NA,NA,NA,7.99070554276767,36.8964994035385,22.3012482056275,25.567144768164,0.765906721285003,0.199734504923147,0.320586327317868,NA,1.76224217997525,0.0555714275770448,2.69192371292219,NA,NA,NA,NA,NA,8.05409513401185,36.9454851069972,23.9748774691364,25.1188619105851,1.54205537954266,0.258630797183121,0.336264475461164,NA,6.81035582494761,0.354512195686575,4.06939812831172,NA,NA,NA,NA,NA,7.95829054865975,36.8722197254717,21.4440164291355,25.7975644237307,0.373112487808999,0.172366238308385,0.317411948400473,NA,87,21,22.42,4.19,0.57,0.14,7.13,0.6,1.42,8.36,NA,NA,NA,NA,NA,NA
